display  D   display_settings.c:506  _al_score_display_settings       [   0.17246] Score is : 897
display  D   display_settings.c:191  debug_display_settings           [   0.17248] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.17250] Score is : 897
display  D   display_settings.c:191  debug_display_settings           [   0.17253] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.17256] Score is : 726
display  D   display_settings.c:191  debug_display_settings           [   0.17258] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.17261] Score is : 721
display  D   display_settings.c:191  debug_display_settings           [   0.17264] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.17267] Score is : 897
display  D   display_settings.c:191  debug_display_settings           [   0.17270] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.17273] Score is : 897
display  D   display_settings.c:191  debug_display_settings           [   0.17276] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.17279] Score is : 726
display  D   display_settings.c:191  debug_display_settings           [   0.17282] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.17285] Score is : 721
display  D   display_settings.c:191  debug_display_settings           [   0.17288] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.17291] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.17294] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.17297] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.17300] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:377  _al_score_display_settings       [   0.17303] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.17306] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:377  _al_score_display_settings       [   0.17310] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.17312] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.17316] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.17318] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.17322] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.17325] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 2/1
display  D   display_settings.c:377  _al_score_display_settings       [   0.17328] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.17331] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 3/1
display  D   display_settings.c:377  _al_score_display_settings       [   0.17333] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.17335] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.17337] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.17338] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.17340] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.17342] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:377  _al_score_display_settings       [   0.17344] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.17346] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:377  _al_score_display_settings       [   0.17348] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.17349] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.17351] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.17353] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.17355] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.17356] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:377  _al_score_display_settings       [   0.17358] Single Buffer requirement not met.
